Name,Location,Year,Kilometers_Driven,Mileage,Engine,Power,Seats,New_Price,Price,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Manual,Owner_Type_Fourth & Above,Owner_Type_Second,Owner_Type_Third
Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,19.67,1582.0,126.2,5.0,16.06,12.5,False,False,True,False,False,False
Honda Jazz V,Chennai,2011,46000,18.2,1199.0,88.7,5.0,8.61,4.5,False,True,True,False,False,False
Maruti Ertiga VDI,Chennai,2012,87000,20.77,1248.0,88.76,7.0,11.27,6.0,False,False,True,False,False,False
Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,15.2,1968.0,140.8,5.0,53.14,17.74,False,False,False,False,True,False
Nissan Micra Diesel XV,Jaipur,2013,86999,23.08,1461.0,63.1,5.0,9.47,3.5,False,False,True,False,False,False
Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,11.36,2755.0,171.5,8.0,21.0,17.5,False,False,False,False,False,False
Volkswagen Vento Diesel Comfortline,Pune,2013,64430,20.54,1598.0,103.6,5.0,13.23,5.2,False,False,True,False,False,False
Tata Indica Vista Quadrajet LS,Chennai,2012,65932,22.3,1248.0,74.0,5.0,7.63,1.95,False,False,True,False,True,False
Maruti Ciaz Zeta,Kochi,2018,25692,21.56,1462.0,103.25,5.0,10.65,9.95,False,True,True,False,False,False
Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,16.8,1497.0,116.3,5.0,13.58,4.49,False,True,False,False,False,False
Maruti Swift VDI BSIV,Jaipur,2015,64424,25.2,1248.0,74.0,5.0,7.88,5.6,False,False,True,False,False,False
Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,12.7,2179.0,187.7,5.0,120.0,27.0,False,False,False,False,False,False
Land Rover Freelander 2 TD4 SE,Pune,2012,85000,0.0,2179.0,115.0,5.0,120.0,17.5,False,False,False,False,True,False
Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,13.5,2477.0,175.56,7.0,32.01,15.0,False,False,True,False,False,False
Honda Amaze S i-Dtech,Kochi,2016,58950,25.8,1498.0,98.6,5.0,8.54,5.4,False,False,True,False,False,False
